City or municipality,Type,Province
Region I - Ilocos Region,Reg,
Region II - Cagayan Valley,Reg,
Region III - Central Luzon,Reg,
Region IV-A - CALABARZON,Reg,
MIMAROPA Region,Reg,
Region V - Bicol Region,Reg,
Region VI - Western Visayas,Reg,
Region VII - Central Visayas,Reg,
Region VIII - Eastern Visayas,Reg,
Region IX - Zamboanga Peninsula,Reg,
Region X - Northern Mindanao,Reg,
Region XI - Davao Region,Reg,
Region XII - SOCCSKSARGEN,Reg,
Region XIII - Caraga,Reg,
NCR - National Capital Region,Reg,
CAR - Cordillera Administrative Region,Reg,
BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,Reg,
NIR - Negros Island Region,Reg,
Aborlan,Mun,Palawan
Abra de Ilog,Mun,Occidental Mindoro
Abucay,Mun,Bataan
Abulug,Mun,Cagayan
Abuyog,Mun,Leyte
Adams,Mun,Ilocos Norte
Agdangan,Mun,Quezon
Aglipay,Mun,Quirino
Agno,Mun,Pangasinan
Agoncillo,Mun,Batangas
Agoo,Mun,La Union
Aguilar,Mun,Pangasinan
Aguinaldo,Mun,Ifugao
Agutaya,Mun,Palawan
Ajuy,Mun,Iloilo
Akbar,Mun,Basilan
Al-Barka,Mun,Basilan
Alabat,Mun,Quezon
Alabel,Mun,Sarangani
Alamada,Mun,Cotabato
Alaminos,Mun,Laguna
Alaminos,CC,Pangasinan
Alangalang,Mun,Leyte
Albuera,Mun,Leyte
Alburquerque,Mun,Bohol
Alcala,Mun,Cagayan
Alcala,Mun,Pangasinan
Alcantara,Mun,Cebu
Alcantara,Mun,Romblon
Alcoy,Mun,Cebu
Alegria,Mun,Cebu
Alegria,Mun,Surigao del Norte
Aleosan,Mun,Cotabato
Alfonso,Mun,Cavite
Alfonso Castañeda,Mun,Nueva Vizcaya
Alfonso Lista*,Mun,Ifugao
Aliaga,Mun,Nueva Ecija
Alicia,Mun,Bohol
Alicia,Mun,Isabela
Alicia,Mun,Zamboanga Sibugay
Alilem,Mun,Ilocos Sur
Alimodian,Mun,Iloilo
Alitagtag,Mun,Batangas
Allacapan,Mun,Cagayan
Allen,Mun,Northern Samar
Almagro,Mun,Samar
Almeria,Mun,Biliran
Aloguinsan,Mun,Cebu
Aloran,Mun,Misamis Occidental
Altavas,Mun,Aklan
Alubijid,Mun,Misamis Oriental
Amadeo,Mun,Cavite
Amai Manabilang,Mun,Lanao del Sur
Ambaguio,Mun,Nueva Vizcaya
Amlan,Mun,Negros Oriental
Ampatuan,Mun,Maguindanao del Sur
Amulung,Mun,Cagayan
Anahawan,Mun,Southern Leyte
Anao,Mun,Tarlac
Anda,Mun,Bohol
Anda,Mun,Pangasinan
Angadanan,Mun,Isabela
Angat,Mun,Bulacan
Angeles*,HUC,Pampanga
Angono,Mun,Rizal
Anilao,Mun,Iloilo
Anini-y,Mun,Antique
Antequera,Mun,Bohol
Antipas,Mun,Cotabato
Antipolo*,CC,Rizal
Apalit,Mun,Pampanga
Aparri,Mun,Cagayan
Araceli,Mun,Palawan
Arakan,Mun,Cotabato
Arayat,Mun,Pampanga
Argao,Mun,Cebu
Aringay,Mun,La Union
Aritao,Mun,Nueva Vizcaya
Aroroy,Mun,Masbate
Arteche,Mun,Eastern Samar
Asingan,Mun,Pangasinan
Asipulo,Mun,Ifugao
Asturias,Mun,Cebu
Asuncion,Mun,Davao del Norte
Atimonan,Mun,Quezon
Atok,Mun,Benguet
Aurora,Mun,Isabela
Aurora,Mun,Zamboanga del Sur
Ayungon,Mun,Negros Oriental
Baao,Mun,Camarines Sur
Babatngon,Mun,Leyte
Bacacay,Mun,Albay
Bacarra,Mun,Ilocos Norte
Baclayon,Mun,Bohol
Bacnotan,Mun,La Union
Baco,Mun,Oriental Mindoro
Bacolod,Mun,Lanao del Norte
Bacolod-Kalawi,Mun,Lanao del Sur
Bacolod*,HUC,Negros Occidental
Bacolor,Mun,Pampanga
Bacong,Mun,Negros Oriental
Bacoor,CC,Cavite
Bacuag,Mun,Surigao del Norte
Badian,Mun,Cebu
Badiangan,Mun,Iloilo
Badoc,Mun,Ilocos Norte
Bagabag,Mun,Nueva Vizcaya
Bagac,Mun,Bataan
Bagamanoc,Mun,Catanduanes
Baganga,Mun,Davao Oriental
Baggao,Mun,Cagayan
Bago,CC,Negros Occidental
Baguio*,HUC,Benguet
Bagulin,Mun,La Union
Bagumbayan,Mun,Sultan Kudarat
Bais,CC,Negros Oriental
Bakun,Mun,Benguet
Balabac,Mun,Palawan
Balabagan,Mun,Lanao del Sur
Balagtas,Mun,Bulacan
Balamban,Mun,Cebu
Balanga,CC,Bataan
Balangiga,Mun,Eastern Samar
Balangkayan,Mun,Eastern Samar
Balaoan,Mun,La Union
Balasan,Mun,Iloilo
Balatan,Mun,Camarines Sur
Balayan,Mun,Batangas
Balbalan,Mun,Kalinga
Baleno,Mun,Masbate
Baler,Mun,Aurora
Balete,Mun,Aklan
Balete,Mun,Batangas
Baliangao,Mun,Misamis Occidental
Baliguian,Mun,Zamboanga del Norte
Balilihan,Mun,Bohol
Balindong,Mun,Lanao del Sur
Balingasag,Mun,Misamis Oriental
Balingoan,Mun,Misamis Oriental
Baliwag,CC,Bulacan
Ballesteros,Mun,Cagayan
Balo-i,Mun,Lanao del Norte
Balud,Mun,Masbate
Balungao,Mun,Pangasinan
Bamban,Mun,Tarlac
Bambang,Mun,Nueva Vizcaya
Banate,Mun,Iloilo
Banaue,Mun,Ifugao
Banaybanay,Mun,Davao Oriental
Banayoyo,Mun,Ilocos Sur
Banga,Mun,Aklan
Banga,Mun,South Cotabato
Bangar,Mun,La Union
Bangued*,Mun,Abra
Bangui,Mun,Ilocos Norte
Banguingui,Mun,Sulu
Bani,Mun,Pangasinan
Banisilan,Mun,Cotabato
Banna,Mun,Ilocos Norte
Bansalan,Mun,Davao del Sur
Bansud,Mun,Oriental Mindoro
Bantay,Mun,Ilocos Sur
Bantayan,Mun,Cebu
Banton,Mun,Romblon
Baras,Mun,Catanduanes
Baras,Mun,Rizal
Barbaza,Mun,Antique
Barcelona,Mun,Sorsogon
Barili,Mun,Cebu
Barira,Mun,Maguindanao del Norte
Barlig,Mun,Mountain Province
Barobo,Mun,Surigao del Sur
Barotac Nuevo,Mun,Iloilo
Barotac Viejo,Mun,Iloilo
Baroy,Mun,Lanao del Norte
Barugo,Mun,Leyte
Basay,Mun,Negros Oriental
Basco*,Mun,Batanes
Basey,Mun,Samar
Basilisa*,Mun,Dinagat Islands
Basista,Mun,Pangasinan
Basud,Mun,Camarines Norte
Batac,CC,Ilocos Norte
Batad,Mun,Iloilo
Batan,Mun,Aklan
Batangas City,CC,Batangas
Bataraza,Mun,Palawan
Bato,Mun,Camarines Sur
Bato,Mun,Catanduanes
Bato,Mun,Leyte
Batuan,Mun,Bohol
Batuan,Mun,Masbate
Bauan,Mun,Batangas
Bauang,Mun,La Union
Bauko*,Mun,Mountain Province
Baungon,Mun,Bukidnon
Bautista,Mun,Pangasinan
Bay,Mun,Laguna
Bayabas,Mun,Surigao del Sur
Bayambang,Mun,Pangasinan
Bayang,Mun,Lanao del Sur
Bayawan,CC,Negros Oriental
Baybay,CC,Leyte
